SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:18:46-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,46190,1580,328,160,182,-1.000488,0.001465,0.090820,1.190000,-3.780000,-0.236250,-1.848944,-0.177244,-0.888994,,161,141,127,115,911,,,,,,,,,-50,15:18:47.732,
,,46191,1600,328,159,183,-0.997559,-0.003418,0.091309,1.207500,-3.806250,-0.218750,-1.850696,-0.178266,-0.887388,,162,142,128,116,914,,,,,,,,,-50,15:18:47.733,
,,46192,1620,327,160,184,-0.998535,-0.003906,0.094238,1.277500,-3.788750,-0.166250,-1.848944,-0.182938,-0.902426,,161,144,129,116,913,,,,,,,,,-50,15:18:47.734,
,,46193,1640,327,159,184,-0.995605,-0.002441,0.091797,1.408750,-3.815000,-0.192500,-1.852302,-0.183522,-0.877460,,162,141,128,115,913,,,,,,,,,-50,15:18:47.761,
,,46194,1660,326,158,183,-1.000000,-0.002441,0.093262,1.382500,-3.797500,-0.175000,-1.852886,-0.181916,-0.893958,,161,142,125,116,913,,,,,,,,,-50,15:18:47.792,
,,46195,1680,326,159,184,-0.999512,-0.000488,0.091797,1.365000,-3.745000,-0.131250,-1.852886,-0.181916,-0.893958,,159,142,126,115,915,,,,,,,,,-50,15:18:47.792,
,,46196,1700,326,160,182,-0.996582,-0.002441,0.091309,1.373750,-3.780000,-0.271250,-1.849674,-0.180310,-0.879358,,161,142,128,116,914,,,,,,,,,-50,15:18:47.822,
,,46197,1720,326,158,183,-0.997559,-0.000977,0.089355,1.295000,-3.832500,-0.245000,-1.856390,-0.180310,-0.887972,,161,142,130,117,913,,,,,,,,,-50,15:18:47.852,
,,46198,1740,327,159,185,-0.996094,-0.001953,0.091309,1.225000,-3.841250,-0.236250,-1.850842,-0.177974,-0.890162,,162,142,129,118,913,,,,,,,,,-50,15:18:47.852,
,,46199,1760,328,159,182,-0.999023,0.000488,0.092773,1.268750,-3.797500,-0.280000,-1.855368,-0.181478,-0.892206,,162,142,126,115,914,,,,,,,,,-50,15:18:47.882,
