Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
2991,188,297,121,288,-1.523438,1.996094,-1.089844,158.20314,150.878922,249.511734,0.710938,-0.242188,-0.132813
2992,190,297,122,288,-2,1.996094,-0.765625,179.687515,32.226566,249.511734,0.75,-0.304688,-0.132813
2993,189,299,121,288,-2,1.996094,0.578125,144.531265,-110.35157,218.261734,0.765625,-0.34375,-0.117188
2994,189,298,121,287,-2,1.996094,1.246094,55.175785,-152.343765,14.648438,0.773438,-0.34375,-0.078125
2995,199,305,121,294,-1.351563,0.957031,1.011719,-142.57814,-73.242195,-207.031265,0.773438,-0.34375,-0.078125
2996,191,302,111,289,1.375,0.710938,0.378906,-238.769547,54.687504,-250.000015,0.757813,-0.296875,-0.078125
2997,181,303,94,287,-0.148438,0.929688,0.777344,-243.652359,212.402359,-200.195328,0.71875,-0.242188,-0.132813
2998,169,297,97,287,-0.632813,1.417969,-0.273438,-210.449234,103.027351,-219.238297,0.695313,-0.234375,-0.179688
2999,162,269,101,269,0.136719,0.84375,0.417969,-157.226578,-6.347657,-57.12891,0.679688,-0.234375,-0.203125
3000,156,243,107,243,0.097656,0.886719,0.785156,-89.355476,13.671876,-55.175785,0.679688,-0.234375,-0.203125
3001,153,226,114,220,0.21875,1.050781,0.554688,-29.785158,9.765626,-44.433598,0.671875,-0.234375,-0.21875
3002,151,213,121,190,0.984375,1.441406,-0.292969,26.367189,32.226566,-36.132816,0.648438,-0.226563,-0.210938
3003,155,215,123,182,1.464844,1.996094,0.152344,91.796883,29.785158,-154.785172,0.640625,-0.203125,-0.210938
3004,165,225,123,181,1.449219,1.871094,0.183594,89.355476,2.929688,-246.093765,0.601563,-0.171875,-0.203125
3005,174,237,123,186,0.617188,1.992188,0.082031,38.085941,6.835938,-250.000015,0.601563,-0.171875,-0.203125
3006,184,246,122,208,-0.816406,1.78125,0.710938,-43.945316,49.804691,-250.000015,0.546875,-0.132813,-0.203125
3007,198,271,122,253,-0.15625,1.976563,0.351563,83.984383,-59.570316,-250.000015,0.445313,-0.101563,-0.195313
3008,193,281,124,272,-0.195313,1.929688,-0.1875,135.742203,-115.234383,-250.000015,0.351563,-0.101563,-0.171875
3009,191,283,122,280,0.367188,1.808594,0.117188,14.648438,-17.089846,-179.199234,0.3125,-0.109375,-0.171875
