SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:05:06-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,5572,1560,327,160,184,0.006348,-0.006348,1.037598,1.338750,-3.797500,-0.157500,0.042048,-0.195348,-0.432452,,158,139,130,115,917,,,,,,,,,-49,15:05:07.676,
,,5573,1580,329,160,183,0.000977,-0.005371,1.035645,1.365000,-3.745000,-0.140000,0.039858,-0.194618,-0.433036,,159,141,127,117,916,,,,,,,,,-49,15:05:07.677,
,,5574,1600,328,160,183,0.004883,-0.003906,1.036621,1.382500,-3.736250,-0.201250,0.044092,-0.196954,-0.435226,,159,141,129,115,915,,,,,,,,,-49,15:05:07.705,
,,5575,1620,327,160,184,0.004883,-0.004883,1.034668,1.365000,-3.788750,-0.245000,0.043508,-0.202210,-0.439898,,160,142,130,116,915,,,,,,,,,-49,15:05:07.736,
,,5576,1640,328,160,185,0.005859,-0.004395,1.033203,1.312500,-3.832500,-0.236250,0.045114,-0.195932,-0.435518,,160,144,128,116,916,,,,,,,,,-49,15:05:07.746,
,,5577,1660,329,162,183,0.007324,-0.005371,1.033691,1.321250,-3.771250,-0.183750,0.043508,-0.197830,-0.443840,,162,141,128,115,916,,,,,,,,,-49,15:05:07.767,
,,5578,1680,329,161,183,0.003906,-0.004883,1.039551,1.286250,-3.788750,-0.236250,0.043508,-0.197830,-0.443840,,161,141,128,117,914,,,,,,,,,-49,15:05:07.799,
,,5579,1700,326,160,184,0.005859,-0.003906,1.035645,1.312500,-3.762500,-0.113750,0.050078,-0.196224,-0.442672,,161,141,127,116,917,,,,,,,,,-49,15:05:07.800,
,,5580,1720,326,159,183,0.007324,-0.005371,1.033203,1.295000,-3.858750,-0.175000,0.049494,-0.194034,-0.431138,,159,142,128,114,915,,,,,,,,,-49,15:05:07.825,
,,5581,1740,327,161,183,0.004395,-0.006348,1.029785,1.198750,-3.762500,-0.157500,0.044530,-0.198414,-0.430700,,160,142,129,115,915,,,,,,,,,-49,15:05:07.856,
